"state","state_name","region"
"AL","ALABAMA","SOUTHEAST"
"AR","ARKANSAS","DELTA STATE"
"AZ","ARIZONA","MOUNTAIN"
"CA","CALIFORNIA","PACIFIC"
"CO","COLORADO","MOUNTAIN"
"CT","CONNECTICUT","NORTHEAST"
"DE","DELAWARE","NORTHEAST"
"FL","FLORIDA","SOUTHEAST"
"GA","GEORGIA","SOUTHEAST"
"IA","IOWA","CORN BELT"
"ID","IDAHO","MOUNTAIN"
"IL","ILLINOIS","CORN BELT"
"IN","INDIANA","CORN BELT"
"KS","KANSAS","NORTHERN PLAINS"
"KY","KENTUCKY","APPALACHIAN"
"LA","LOUISIANA","DELTA STATE"
"MA","MASSACHUSETTS","NORTHEAST"
"MD","MARYLAND","NORTHEAST"
"ME","MAINE","NORTHEAST"
"MI","MICHIGAN","LAKE SATES"
"MN","MINNESOTA","LAKE SATES"
"MO","MISSOURI","CORN BELT"
"MS","MISSISSIPPI","DELTA STATE"
"MT","MONTANA","MOUNTAIN"
"NC","NORTH CAROLINA","APPALACHIAN"
"ND","NORTH DAKOTA","NORTHERN PLAINS"
"NE","NEBRASKA","NORTHERN PLAINS"
"NH","NEW HAMPSHIRE","NORTHEAST"
"NJ","NEW JERSEY","NORTHEAST"
"NM","NEW MEXICO","MOUNTAIN"
"NV","NEVADA","MOUNTAIN"
"NY","NEW YORK","NORTHEAST"
"OH","OHIO","CORN BELT"
"OK","OKLAHOMA","SOUTHERN PLAINS"
"OR","OREGON","PACIFIC"
"PA","PENNSYLVANIA","NORTHEAST"
"RI","RHODE ISLAND","NORTHEAST"
"SC","SOUTH CAROLINA","SOUTHEAST"
"SD","SOUTH DAKOTA","NORTHERN PLAINS"
"TN","TENNESSEE","APPALACHIAN"
"TX","TEXAS","SOUTHERN PLAINS"
"UT","UTAH","MOUNTAIN"
"VA","VIRGINIA","APPALACHIAN"
"VT","VERMONT","NORTHEAST"
"WA","WASHINGTON","PACIFIC"
"WI","WISCONSIN","LAKE SATES"
"WV","WEST VIRGINIA","APPALACHIAN"
"WY","WYOMING","MOUNTAIN"
